	example_idx	FW_iter	gap_FW	success	first_success	target	pred	stop_cond	adv_target	stepsize	l_inf	mdlLoss	targeted_success	rule
53	2	14	0.5001460313796997	False	False	0	0		8	0.13333333333333333	0.005000054836273193	3.6239020824432373	False	decay
54	2	15	0.43544021248817444	False	False	0	0		8	0.125	0.005000054836273193	3.5234498977661133	False	decay
55	2	16	0.3700990378856659	False	False	0	0		8	0.11764705882352941	0.005000054836273193	3.473527669906616	False	decay
56	2	17	0.32730233669281006	False	False	0	0		8	0.1111111111111111	0.005000054836273193	3.39691424369812	False	decay
57	2	18	0.33022528886795044	False	False	0	0		8	0.10526315789473684	0.005000054836273193	3.337381362915039	False	decay
58	2	19	0.3662514388561249	False	False	0	0		8	0.1	0.005000054836273193	3.3393030166625977	False	decay
59	2	20	0.2973627746105194	False	False	0	0	max_iter	8	0.09523809523809523	0.005000054836273193	3.2791035175323486	False	decay
60	3	1	2.512392044067383	True	True	1	8		9	1.0	0.005000025033950806	7.5373215675354	False	decay
61	3	2	1.3417428731918335	False	False	1	1		9	0.6666666666666666	0.005000025033950806	0.9030399918556213	False	decay
62	3	3	1.8686177730560303	True	False	1	9		9	0.5	0.005000054836273193	1.9777106046676636	True	decay
63	3	4	0.27060940861701965	True	False	1	9		9	0.4	0.005000054836273193	0.29956406354904175	True	decay
64	3	5	0.06382334977388382	True	False	1	9	gap	9	0.3333333333333333	0.005000054836273193	0.0984984040260315	True	decay
65	4	1	4.847418785095215	False	False	7	7		3	1.0	0.005000025033950806	21.13800048828125	False	decay
66	4	2	3.248486042022705	True	True	7	3		3	0.6666666666666666	0.005000025033950806	3.1789093017578125	True	decay
67	4	3	0.7347682118415833	True	False	7	3		3	0.5	0.005000054836273193	0.21094520390033722	True	decay
68	4	4	0.004122441168874502	True	False	7	3	gap	3	0.4	0.005000054836273193	0.0013604442356154323	True	decay
69	5	1	5.522802829742432	False	False	6	6		9	1.0	0.005000025033950806	24.15553855895996	False	decay
70	5	2	2.3177568912506104	False	False	6	6		9	0.6666666666666666	0.005000025033950806	4.977054119110107	False	decay
71	5	3	2.166344404220581	False	False	6	6		9	0.5	0.005000025033950806	3.0331294536590576	False	decay
72	5	4	1.0164668560028076	True	True	6	9		9	0.4	0.005000025033950806	1.2286810874938965	True	decay
73	5	5	0.6507965922355652	True	False	6	9		9	0.3333333333333333	0.005000025033950806	0.5579988956451416	True	decay
74	5	6	0.26580849289894104	True	False	6	9		9	0.2857142857142857	0.005000025033950806	0.2610194683074951	True	decay
75	5	7	0.1706065684556961	True	False	6	9		9	0.25	0.005000025033950806	0.15388290584087372	True	decay
76	5	8	0.09289278835058212	True	False	6	9	gap	9	0.2222222222222222	0.005000025033950806	0.09577067941427231	True	decay
77	6	1	2.7580580711364746	False	False	9	9		7	1.0	0.005000025033950806	12.651082992553711	False	decay
78	6	2	2.4822757244110107	False	False	9	9		7	0.6666666666666666	0.005000025033950806	5.120063304901123	False	decay
79	6	3	1.7603949308395386	False	False	9	9		7	0.5	0.005000025033950806	4.088363170623779	False	decay
80	6	4	1.2582166194915771	False	False	9	9		7	0.4	0.005000025033950806	2.591249465942383	False	decay
81	6	5	0.9652873873710632	False	False	9	9		7	0.3333333333333333	0.005000025033950806	2.0822877883911133	False	decay
82	6	6	0.6479266881942749	False	False	9	9		7	0.2857142857142857	0.005000025033950806	1.43955659866333	False	decay
83	6	7	0.6047151684761047	False	False	9	9		7	0.25	0.005000025033950806	1.1826279163360596	False	decay
84	6	8	0.5458182096481323	False	False	9	9		7	0.2222222222222222	0.005000025033950806	1.0393197536468506	False	decay
85	6	9	0.4329572916030884	True	True	9	7		7	0.2	0.005000025033950806	0.9006177186965942	True	decay
86	6	10	0.3308431804180145	True	False	9	7		7	0.18181818181818182	0.005000025033950806	0.7105156779289246	True	decay
87	6	11	0.32764819264411926	True	False	9	7		7	0.16666666666666666	0.005000025033950806	0.6132078170776367	True	decay
88	6	12	0.39374247193336487	True	False	9	7		7	0.15384615384615385	0.005000025033950806	0.588225781917572	True	decay
89	6	13	0.3071727156639099	True	False	9	7		7	0.14285714285714285	0.005000025033950806	0.5539533495903015	True	decay
90	6	14	0.24959999322891235	True	False	9	7		7	0.13333333333333333	0.005000025033950806	0.47893577814102173	True	decay
91	6	15	0.1949547678232193	True	False	9	7		7	0.125	0.005000025033950806	0.40469518303871155	True	decay
92	6	16	0.18374289572238922	True	False	9	7		7	0.11764705882352941	0.005000025033950806	0.3609590232372284	True	decay
93	6	17	0.15879908204078674	True	False	9	7		7	0.1111111111111111	0.005000025033950806	0.3150351345539093	True	decay
94	6	18	0.15117086470127106	True	False	9	7		7	0.10526315789473684	0.005000025033950806	0.28174495697021484	True	decay
95	6	19	0.145900160074234	True	False	9	7		7	0.1	0.005000025033950806	0.263500839471817	True	decay
96	6	20	0.11994211375713348	True	False	9	7	max_iter	7	0.09523809523809523	0.005000025033950806	0.2376595139503479	True	decay
97	7	1	3.127530097961426	False	False	4	4		2	1.0	0.005000025033950806	17.07378578186035	False	decay
98	7	2	1.5919954776763916	False	False	4	4		2	0.6666666666666666	0.005000025033950806	7.071734428405762	False	decay
99	7	3	1.8213545083999634	False	False	4	4		2	0.5	0.005000054836273193	6.751462936401367	False	decay
100	7	4	0.9991650581359863	False	False	4	4		2	0.4	0.005000054836273193	4.952934265136719	False	decay
101	7	5	0.8398705124855042	False	False	4	4		2	0.3333333333333333	0.005000054836273193	3.9303359985351562	False	decay
102	7	6	0.7103720307350159	False	False	4	4		2	0.2857142857142857	0.005000054836273193	3.2691357135772705	False	decay
103	7	7	0.6446868181228638	False	False	4	4		2	0.25	0.005000054836273193	2.8920230865478516	False	decay
104	7	8	0.6301556825637817	False	False	4	4		2	0.2222222222222222	0.005000054836273193	2.7373716831207275	False	decay
105	7	9	0.5488210916519165	False	False	4	4		2	0.2	0.005000054836273193	2.557314872741699	False	decay
106	7	10	0.47227486968040466	False	False	4	4		2	0.18181818181818182	0.005000054836273193	2.2876131534576416	False	decay
107	7	11	0.4747086465358734	False	False	4	4		2	0.16666666666666666	0.005000054836273193	2.1660780906677246	False	decay
108	7	12	0.38260334730148315	False	False	4	4		2	0.15384615384615385	0.005000054836273193	2.004253625869751	False	decay
109	7	13	0.4131283760070801	False	False	4	4		2	0.14285714285714285	0.005000054836273193	1.9075883626937866	False	decay
110	7	14	0.3637641668319702	False	False	4	4		2	0.13333333333333333	0.005000054836273193	1.803426742553711	False	decay
111	7	15	0.3503081500530243	False	False	4	4		2	0.125	0.005000054836273193	1.7058624029159546	False	decay
112	7	16	0.2853705883026123	False	False	4	4		2	0.11764705882352941	0.005000054836273193	1.6146464347839355	False	decay
113	7	17	0.30507713556289673	False	False	4	4		2	0.1111111111111111	0.005000054836273193	1.546271562576294	False	decay
114	7	18	0.29400205612182617	False	False	4	4		2	0.10526315789473684	0.005000054836273193	1.4972283840179443	False	decay
115	7	19	0.26877927780151367	False	False	4	4		2	0.1	0.005000054836273193	1.4561479091644287	False	decay
116	7	20	0.27202796936035156	False	False	4	4	max_iter	2	0.09523809523809523	0.005000054836273193	1.407250165939331	False	decay
117	8	1	5.018379211425781	True	True	7	3		1	1.0	0.005000025033950806	10.548447608947754	False	decay
118	8	2	3.9105634689331055	True	False	7	5		1	0.6666666666666666	0.005000025033950806	7.555667877197266	False	decay
119	8	3	2.6040472984313965	False	False	7	7		1	0.5	0.005000054836273193	4.987434387207031	False	decay
120	8	4	2.3459763526916504	True	False	7	3		1	0.4	0.005000054836273193	3.419926166534424	False	decay
121	8	5	1.3788105249404907	True	False	7	1		1	0.3333333333333333	0.005000054836273193	1.6075860261917114	True	decay
122	8	6	0.6371859908103943	True	False	7	1		1	0.2857142857142857	0.005000010132789612	0.7652936577796936	True	decay
123	8	7	0.2733362913131714	True	False	7	1		1	0.25	0.005000010132789612	0.3357846438884735	True	decay
124	8	8	0.1842368096113205	True	False	7	1		1	0.2222222222222222	0.005000010132789612	0.19540968537330627	True	decay
125	8	9	0.22346973419189453	True	False	7	1		1	0.2	0.005000010132789612	0.17391318082809448	True	decay
126	8	10	0.3093918561935425	True	False	7	1		1	0.18181818181818182	0.005000010132789612	0.18092647194862366	True	decay
127	8	11	0.26101502776145935	True	False	7	1		1	0.16666666666666666	0.005000010132789612	0.18950669467449188	True	decay
128	8	12	0.14758440852165222	True	False	7	1		1	0.15384615384615385	0.005000010132789612	0.14033271372318268	True	decay
129	8	13	0.10052691400051117	True	False	7	1		1	0.14285714285714285	0.005000010132789612	0.11239192634820938	True	decay
130	8	14	0.08237800002098083	True	False	7	1	gap	1	0.13333333333333333	0.005000010132789612	0.09240584075450897	True	decay
131	9	1	4.572508811950684	True	True	6	4		4	1.0	0.005000025033950806	6.932992935180664	True	decay
132	9	2	1.1333807706832886	True	False	6	4		4	0.6666666666666666	0.005000025033950806	0.3210844099521637	True	decay
133	9	3	0.03786224126815796	True	False	6	4	gap	4	0.5	0.005000025033950806	0.010038484819233418	True	decay
134	10	1	3.632631540298462	False	False	8	8		2	1.0	0.005000025033950806	24.316808700561523	False	decay
135	10	2	2.7367606163024902	False	False	8	8		2	0.6666666666666666	0.005000025033950806	13.035710334777832	False	decay
136	10	3	2.5588464736938477	False	False	8	8		2	0.5	0.005000054836273193	10.842774391174316	False	decay
137	10	4	1.9263012409210205	False	False	8	8		2	0.4	0.005000054836273193	8.25288200378418	False	decay
138	10	5	1.5116466283798218	False	False	8	8		2	0.3333333333333333	0.005000054836273193	6.297443866729736	False	decay
139	10	6	1.3940107822418213	False	False	8	8		2	0.2857142857142857	0.005000054836273193	5.117276191711426	False	decay
