	example_idx	FW_iter	gap_FW	success	first_success	target	pred	stop_cond	adv_target	stepsize	l_inf	mdlLoss	targeted_success	rule
0	0	1	2.548006296157837	False	False	9	9		8	1.0	0.005000025033950806	15.079809188842773	False	ls
1	0	2	1.3224313259124756	False	False	9	9		8	0.46	0.005000054836273193	6.906051158905029	False	ls
2	0	3	0.7570828199386597	False	False	9	9		8	0.98	0.005000025033950806	5.695737838745117	False	ls
3	0	4	1.3821675777435303	False	False	9	9		8	0.26	0.005000054836273193	3.849207878112793	False	ls
4	0	5	0.5701319575309753	False	False	9	9		8	0.42	0.005000054836273193	3.064135789871216	False	ls
5	0	6	0.4767496883869171	False	False	9	9		8	0.42	0.005000054836273193	2.5731875896453857	False	ls
6	0	7	0.38421064615249634	False	False	9	9		8	0.24	0.005000054836273193	2.129159927368164	False	ls
7	0	8	0.29206255078315735	False	False	9	9		8	0.3	0.005000054836273193	1.897902250289917	False	ls
8	0	9	0.3312695324420929	False	False	9	9		8	0.14	0.005000054836273193	1.7238335609436035	False	ls
9	0	10	0.2474999576807022	False	False	9	9		8	0.76	0.005000025033950806	1.6068670749664307	False	ls
10	0	11	0.4447649121284485	False	False	9	9		8	0.2	0.005000054836273193	1.4216163158416748	False	ls
11	0	12	0.25928622484207153	False	False	9	9		8	0.22	0.005000054836273193	1.2369308471679688	False	ls
12	0	13	0.19952130317687988	False	False	9	9		8	0.18	0.005000054836273193	1.0944653749465942	False	ls
13	0	14	0.16561828553676605	False	False	9	9		8	0.16	0.005000054836273193	1.022208333015442	False	ls
14	0	15	0.15343664586544037	True	True	9	8		8	0.1	0.005000054836273193	0.9647108316421509	True	ls
15	0	16	0.11886097490787506	True	False	9	8		8	0.14	0.005000054836273193	0.9355880618095398	True	ls
16	0	17	0.14128851890563965	True	False	9	8		8	0.06	0.005000054836273193	0.8946176171302795	True	ls
17	0	18	0.10343139618635178	True	False	9	8		8	0.1	0.005000054836273193	0.8785063624382019	True	ls
18	0	19	0.10563547164201736	True	False	9	8		8	0.1	0.005000054836273193	0.8594086766242981	True	ls
19	0	20	0.09053154289722443	True	False	9	8	gap	8	0.1	0.005000054836273193	0.8364568948745728	True	ls
20	1	1	2.1405482292175293	False	False	6	6		8	1.0	0.005000025033950806	16.2896728515625	False	ls
21	1	2	0.6428070664405823	False	False	6	6		8	0.46	0.005000025033950806	9.020387649536133	False	ls
22	1	3	0.41249632835388184	False	False	6	6		8	0.78	0.005000025033950806	8.228513717651367	False	ls
23	1	4	0.5019512176513672	False	False	6	6		8	0.32	0.005000025033950806	7.580997467041016	False	ls
24	1	5	0.29276660084724426	False	False	6	6		8	0.44	0.005000025033950806	7.209792613983154	False	ls
25	1	6	0.32293230295181274	False	False	6	6		8	0.2	0.005000025033950806	6.980701923370361	False	ls
26	1	7	0.21911180019378662	False	False	6	6		8	0.44	0.005000025033950806	6.838568687438965	False	ls
27	1	8	0.29419344663619995	False	False	6	6		8	0.16	0.005000025033950806	6.651435852050781	False	ls
28	1	9	0.17146995663642883	False	False	6	6		8	0.22	0.005000025033950806	6.536834239959717	False	ls
29	1	10	0.1838362216949463	False	False	6	6		8	0.12	0.005000025033950806	6.456671714782715	False	ls
30	1	11	0.1455807387828827	False	False	6	6		8	0.16	0.005000025033950806	6.41602897644043	False	ls
31	1	12	0.14076796174049377	False	False	6	6		8	0.14	0.005000025033950806	6.371522426605225	False	ls
32	1	13	0.12495465576648712	False	False	6	6		8	0.1	0.005000025033950806	6.320207118988037	False	ls
33	1	14	0.12082240730524063	False	False	6	6		8	0.14	0.005000025033950806	6.294302463531494	False	ls
34	1	15	0.12086532264947891	False	False	6	6		8	0.06	0.005000025033950806	6.265130519866943	False	ls
35	1	16	0.10868337750434875	False	False	6	6		8	0.1	0.005000025033950806	6.246425151824951	False	ls
36	1	17	0.1159069612622261	False	False	6	6		8	0.04	0.005000025033950806	6.226961135864258	False	ls
37	1	18	0.09675613045692444	False	False	6	6	gap	8	0.06	0.005000025033950806	6.213407039642334	False	ls
38	2	1	2.181245803833008	False	False	0	0		8	1.0	0.005000025033950806	14.61716079711914	False	ls
39	2	2	2.789979934692383	False	False	0	0		8	0.48	0.005000054836273193	10.714217185974121	False	ls
40	2	3	1.342130422592163	False	False	0	0		8	0.46	0.005000054836273193	7.8083672523498535	False	ls
41	2	4	1.166050672531128	False	False	0	0		8	0.32	0.005000054836273193	6.489753723144531	False	ls
42	2	5	0.8810818791389465	False	False	0	0		8	0.26	0.005000054836273193	5.5999321937561035	False	ls
43	2	6	0.7093860507011414	False	False	0	0		8	0.24	0.005000054836273193	5.134735584259033	False	ls
44	2	7	0.6000604033470154	False	False	0	0		8	0.16	0.005000054836273193	4.679632663726807	False	ls
45	2	8	0.4970129728317261	False	False	0	0		8	0.16	0.005000054836273193	4.477433681488037	False	ls
46	2	9	0.4958668649196625	False	False	0	0		8	0.08	0.005000054836273193	4.283096790313721	False	ls
47	2	10	0.394810289144516	False	False	0	0		8	0.1	0.005000054836273193	4.1848368644714355	False	ls
48	2	11	0.4464518427848816	False	False	0	0		8	0.04	0.005000054836273193	4.101578235626221	False	ls
49	2	12	0.3070351779460907	False	False	0	0		8	0.08	0.005000054836273193	4.056192874908447	False	ls
50	2	13	0.36318865418434143	False	False	0	0		8	0.06	0.005000054836273193	4.006511211395264	False	ls
51	2	14	0.3117535412311554	False	False	0	0		8	0.08	0.005000054836273193	3.954228162765503	False	ls
52	2	15	0.3317641317844391	False	False	0	0		8	0.06	0.005000054836273193	3.9101128578186035	False	ls
