epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries,avg_queries,cpu_time,gap_FW,gap_AS
0.005,fw_pair,-1,True,ls,1.0,1948,974.7374100719425,0.15402588643371018,0.2308388501405716,-0.22978068888187408
0.005,fw_pair,-1,False,lipschitz_mnist,1.0,1876,938.7369263607258,0.011822972251867663,0.15451288223266602,-0.15347295999526978
0.005,fw_pair,-1,False,decay,1.0,1866,933.7381974248927,0.01223846566523605,0.1537022441625595,-0.15283092856407166
0.005,fw_pair,-1,False,amjo,1.0,1860,930.7389666307857,0.025666038751345533,0.1540570706129074,-0.15289297699928284
0.005,fw_pair,-1,False,ls,1.0,1858,929.739224137931,0.16402882543103448,0.15375201404094696,-0.15285906195640564
0.005,fw_pair,1,True,lipschitz_mnist,0.09,202,101.74,0.01140625,-0.00044299953151494265,2.9527831568731955e-11
0.005,fw_pair,1,True,decay,0.09,202,101.74,0.01390625,-0.00044299953151494265,2.9527831568731955e-11
0.005,fw_pair,1,True,amjo,0.09,202,101.74,0.031640625,-0.00044299953151494265,2.9527831568731955e-11
0.005,fw_pair,1,True,ls,0.24,205,103.24137931034483,0.14816810344827586,-0.005940494127571583,0.005697585642337799
0.005,fw_pair,1,False,lipschitz_mnist,0.09,202,101.74,0.011953125,-1.485628126829397e-05,-5.383480129239615e-06
0.005,fw_pair,1,False,decay,0.09,202,101.74,0.012578125,-1.485628126829397e-05,-5.383480129239615e-06
0.005,fw_pair,1,False,amjo,0.09,202,101.74,0.02265625,-1.485628126829397e-05,-5.383480129239615e-06
0.005,fw_pair,1,False,ls,0.09,202,101.74,0.1628125,-1.485628126829397e-05,-5.383480129239615e-06
0.005,fw_pair,2,True,lipschitz_mnist,1.0,170,85.74404761904762,0.011625744047619048,0.030815917998552322,-0.029610445722937584
0.005,fw_pair,2,True,decay,1.0,170,85.74404761904762,0.012276785714285714,0.030815917998552322,-0.029610445722937584
0.005,fw_pair,2,True,amjo,1.0,170,85.74404761904762,0.018601190476190476,0.030815917998552322,-0.029610445722937584
0.005,fw_pair,2,True,ls,1.0,170,85.74404761904762,0.14936755952380953,0.030815917998552322,-0.029610445722937584
0.005,fw_pair,2,False,lipschitz_mnist,1.0,124,62.77049180327869,0.00934938524590164,0.09086047857999802,0.0
0.005,fw_pair,2,False,decay,1.0,124,62.77049180327869,0.011526639344262296,0.09086047857999802,0.0
0.005,fw_pair,2,False,amjo,1.0,124,62.77049180327869,0.0195952868852459,0.09086047857999802,0.0
0.005,fw_pair,2,False,ls,1.0,124,62.77049180327869,0.16854508196721313,0.09086047857999802,0.0
0.01,fw,-1,True,lipschitz_mnist,1.0,2002,1001.74,0.0110703125,0.4704819321632385,
0.01,fw,-1,True,decay,1.0,2002,1001.74,0.0111796875,0.46905890107154846,
0.01,fw,-1,True,amjo,1.0,2002,1001.74,0.0170078125,0.4704819321632385,
0.01,fw,-1,True,ls,1.0,2002,1001.74,0.1511484375,0.4704819321632385,
0.01,fw,-1,False,lipschitz_mnist,0.99,1984,992.7421796165489,0.011533488900100908,0.3224893808364868,
0.01,fw,-1,False,decay,0.99,1969,985.2364006100661,0.011708820538891712,0.31791648268699646,
0.01,fw,-1,False,amjo,0.99,1984,992.7421796165489,0.017359359233097883,0.3224893808364868,
0.01,fw,-1,False,ls,0.99,1984,992.7421796165489,0.1624779263370333,0.3224893808364868,
0.01,fw,1,True,lipschitz_mnist,0.09,202,101.74,0.00890625,-0.0009555062279105186,
0.01,fw,1,True,decay,0.09,202,101.74,0.010859375,-0.0009555062279105186,
0.01,fw,1,True,amjo,0.09,202,101.74,0.028515625,-0.0009555062279105186,
0.01,fw,1,True,ls,0.23,205,103.24137931034483,0.13616071428571427,-0.006303822621703148,
0.01,fw,1,False,lipschitz_mnist,0.09,202,101.74,0.010390625,-2.971256253658794e-05,
0.01,fw,1,False,decay,0.09,202,101.74,0.0109375,-2.971256253658794e-05,
0.01,fw,1,False,amjo,0.09,202,101.74,0.020859375,-2.971256253658794e-05,
0.01,fw,1,False,ls,0.09,202,101.74,0.150546875,-2.971256253658794e-05,
0.01,fw,2,True,lipschitz_mnist,1.0,202,101.74,0.0103125,0.06272215396165848,
0.01,fw,2,True,decay,1.0,202,101.74,0.010703125,0.06272215396165848,
0.01,fw,2,True,amjo,1.0,202,101.74,0.01453125,0.06272215396165848,
0.01,fw,2,True,ls,1.0,202,101.74,0.131953125,0.06272215396165848,
0.01,fw,2,False,lipschitz_mnist,1.0,202,101.74,0.010859375,0.046164628118276596,
0.01,fw,2,False,decay,1.0,202,101.74,0.01140625,0.046164628118276596,
0.01,fw,2,False,amjo,1.0,202,101.74,0.01609375,0.046164628118276596,
0.01,fw,2,False,ls,1.0,202,101.74,0.15015625,0.046164628118276596,
0.01,fw_away,-1,True,lipschitz_mnist,1.0,2002,1001.74,0.010875,0.4704819321632385,-0.4679202437400818
