epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries
0.01,fw_pair,1,True,decay,0.09,202
0.01,fw_pair,1,True,amjo,0.09,202
0.01,fw_pair,1,True,ls,0.24,205
0.01,fw_pair,1,False,lipschitz_mnist,0.09,202
0.01,fw_pair,1,False,decay,0.09,202
0.01,fw_pair,1,False,amjo,0.09,202
0.01,fw_pair,1,False,ls,0.09,202
0.01,fw_pair,2,True,lipschitz_mnist,1.0,202
0.01,fw_pair,2,True,decay,1.0,202
0.01,fw_pair,2,True,amjo,1.0,202
0.01,fw_pair,2,True,ls,1.0,202
0.01,fw_pair,2,False,lipschitz_mnist,1.0,202
0.01,fw_pair,2,False,decay,1.0,202
0.01,fw_pair,2,False,amjo,1.0,202
0.01,fw_pair,2,False,ls,1.0,202
0.05,fw,-1,True,lipschitz_mnist,0.99,2002
0.05,fw,-1,True,decay,0.99,2002
0.05,fw,-1,True,amjo,0.99,2002
0.05,fw,-1,True,ls,0.99,2002
0.05,fw,-1,False,lipschitz_mnist,0.95,1949
0.05,fw,-1,False,decay,0.93,1933
0.05,fw,-1,False,amjo,0.95,1933
0.05,fw,-1,False,ls,0.95,1949
0.05,fw,1,True,lipschitz_mnist,0.09,202
0.05,fw,1,True,decay,0.09,202
0.05,fw,1,True,amjo,0.09,202
0.05,fw,1,True,ls,0.23,205
0.05,fw,1,False,lipschitz_mnist,0.09,202
0.05,fw,1,False,decay,0.09,202
0.05,fw,1,False,amjo,0.09,202
0.05,fw,1,False,ls,0.09,202
0.05,fw,2,True,lipschitz_mnist,1.0,2002
0.05,fw,2,True,decay,1.0,2002
0.05,fw,2,True,amjo,1.0,2002
0.05,fw,2,True,ls,1.0,2002
0.05,fw,2,False,lipschitz_mnist,0.99,1984
0.05,fw,2,False,decay,0.99,1984
0.05,fw,2,False,amjo,0.99,1984
0.05,fw,2,False,ls,0.99,1984
0.05,fw_away,-1,True,lipschitz_mnist,0.99,2002
0.05,fw_away,-1,True,decay,0.99,2002
0.05,fw_away,-1,True,amjo,0.99,2002
0.05,fw_away,-1,True,ls,0.99,2002
0.05,fw_away,-1,False,lipschitz_mnist,0.95,2002
0.05,fw_away,-1,False,decay,0.93,2002
0.05,fw_away,-1,False,amjo,0.95,2002
0.05,fw_away,-1,False,ls,0.95,2002
0.05,fw_away,1,True,lipschitz_mnist,0.09,2002
0.05,fw_away,1,True,decay,0.09,2002
0.05,fw_away,1,True,amjo,0.09,2002
0.05,fw_away,1,True,ls,0.28,2002
0.05,fw_away,1,False,lipschitz_mnist,0.09,2002
0.05,fw_away,1,False,decay,0.09,2002
0.05,fw_away,1,False,amjo,0.09,2002
0.05,fw_away,1,False,ls,0.09,2002
0.05,fw_away,2,True,lipschitz_mnist,1.0,2002
0.05,fw_away,2,True,decay,1.0,2002
0.05,fw_away,2,True,amjo,1.0,2002
0.05,fw_away,2,True,ls,1.0,2002
0.05,fw_away,2,False,lipschitz_mnist,0.99,2002
0.05,fw_away,2,False,decay,0.99,2002
0.05,fw_away,2,False,amjo,0.99,2002
0.05,fw_away,2,False,ls,0.99,2002
0.05,fw_pair,-1,True,lipschitz_mnist,0.99,2002
0.05,fw_pair,-1,True,decay,0.99,2002
0.05,fw_pair,-1,True,amjo,0.99,2002
0.05,fw_pair,-1,True,ls,0.99,2002
0.05,fw_pair,-1,False,lipschitz_mnist,0.95,1949
0.05,fw_pair,-1,False,decay,0.93,1934
0.05,fw_pair,-1,False,amjo,0.93,1935
0.05,fw_pair,-1,False,ls,0.93,1935
0.05,fw_pair,1,True,lipschitz_mnist,0.09,202
0.05,fw_pair,1,True,decay,0.09,202
0.05,fw_pair,1,True,amjo,0.09,202
0.05,fw_pair,1,True,ls,0.24,205
